pkt_count,total_bytes,duration_s,pps,bps,iat_mean,iat_std,iat_min,iat_max,iat_cv,pkt_size_mean,pkt_size_std,pkt_size_min,pkt_size_max,payload_mean,payload_std,payload_max,syn_ratio,ack_ratio,fin_ratio,rst_ratio,psh_ratio,syn_ack_ratio,bytes_per_pkt,tls_port,label
10,600,2.055105,4.8659,291.9559,0.228345,0.254967,3.1e-05,0.516758,1.1166,60.0,6.0,54,66,0.0,0.0,0,0.5,0.5,0.0,0.5,0.0,1.0,60.0,1,ddos
10,600,2.055141,4.8658,291.9508,0.228349,0.254989,3.5e-05,0.516777,1.1167,60.0,6.0,54,66,0.0,0.0,0,0.5,0.5,0.0,0.5,0.0,1.0,60.0,1,ddos
10,600,2.038346,4.9059,294.3563,0.226483,0.252956,8.4e-05,0.516332,1.1169,60.0,6.0,54,66,0.0,0.0,0,0.5,0.5,0.0,0.5,0.0,1.0,60.0,1,ddos
10,600,2.038074,4.9066,294.3956,0.226453,0.252843,1.6e-05,0.515796,1.1165,60.0,6.0,54,66,0.0,0.0,0,0.5,0.5,0.0,0.5,0.0,1.0,60.0,1,ddos
10,600,2.038091,4.9066,294.3931,0.226455,0.252925,0.000174,0.516263,1.1169,60.0,6.0,54,66,0.0,0.0,0,0.5,0.5,0.0,0.5,0.0,1.0,60.0,1,ddos
10,600,2.037767,4.9073,294.44,0.226419,0.252948,1.2e-05,0.516277,1.1172,60.0,6.0,54,66,0.0,0.0,0,0.5,0.5,0.0,0.5,0.0,1.0,60.0,1,ddos
10,600,2.053902,4.8688,292.1269,0.228211,0.254863,1e-05,0.516368,1.1168,60.0,6.0,54,66,0.0,0.0,0,0.5,0.5,0.0,0.5,0.0,1.0,60.0,1,ddos
10,600,2.053664,4.8693,292.1607,0.228185,0.254934,2.1e-05,0.516346,1.1172,60.0,6.0,54,66,0.0,0.0,0,0.5,0.5,0.0,0.5,0.0,1.0,60.0,1,ddos
10,600,2.037486,4.908,294.4806,0.226387,0.25282,1.1e-05,0.51598,1.1168,60.0,6.0,54,66,0.0,0.0,0,0.5,0.5,0.0,0.5,0.0,1.0,60.0,1,ddos
10,600,2.037442,4.9081,294.4869,0.226382,0.252946,1.1e-05,0.516383,1.1173,60.0,6.0,54,66,0.0,0.0,0,0.5,0.5,0.0,0.5,0.0,1.0,60.0,1,ddos
